model,display_model,item_id,candidate_hash,context,target_question,reference,candidate,score_gpt4o,score_gemini_2_5_pro,score_qwen3_omni,q_ensemble,q_no_family
gemini_2_5_flash,Gemini 2.5 Flash,video_0030,76f7fb0ff9f43bd835475df814a26ea9b61b0ad9cccad86b1e8af514c28ad86f,"Where's mom? She went to a school board meeting. I don't know how she does it, she sure keeps busy. It's important to her. There are lots of places to go, lots of things to do. She can't sit around and do nothing, Philip works late.",What should the young man in grey say?,I guess you're right.,"""I'm sorry, I didn't mean to interrupt.""",0,0,25,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0032,45625d4a478affa8de2be9ca36ea2dbf1e7152e2d430a49fbbe7651cd03b530a,"It's not good to eat before going to bed. A cookie can't hurt, though. Well, I'm heading off for bed, and a good night's sleep.",What should the man in grey say?,Well good night.,"""You're not thinking fourth-dimensionally.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0034,441a25c4cc0b514de71065af85c7f021b956d53a42a4a5d7e2fab4e3aa6a5a56,"Hello there,Robbie. What are you doing up this late? Reading. Reading? At this hour? Come on, Robbie, what are you doing up this late? Things on my mind. Do you care to talk about them?",What should the man say?,"Sure, if you don't mind listening.","""Mom, I'm going to the dance.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0037,a9e3488504dc49c9194aedc7e6e68c6c3d5a4b21acc3e682da781f1b6a18847d,You're right. We'll do it. I'm going to talk to daddy about it right now. But dad was so exhausted when he came home from work. Why don't you talk to him about it tomorrow?,What should the woman say?,You are a very smart young. I think I'll wait until tomorrow.,"""You're not going anywhere.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0040,6316ce7d267b58674805374097a41af1bbb4c807efefddcf55d878d6a2a83cf5,This would be a wonderful way to accomplish that. I have a question. Yes? What do we read? To the patients in the ward? Yes.,What should the woman say?,Well let's you and I talk about it.,"""I'm sorry, I didn't mean to.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0049,af64b513eaa121735b2e28bea8ee5b0afd01aefc8a6f09afa108797514660c07,"A real dilemma. Does it have anything to do with you and Harry? Yes, but I don't know where to start. Maybe I can help.",What should the woman say?,Tell me.,"""I'm sorry, I didn't mean to upset you.""",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0055,33c85ccb352ca4eb3e92f961e606bd82b6811f5852b91c279094a1d353fe6429,And how do you feel about taking the job in Los Angeles? How should I feel. It's the biggest company in the country. Well then you feel good about taking it?,What should the man say?,"Well, I feel fine about it, why should I?",Right.,25,100,25,50.0,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0056,97d0e01f6bbac16e455fafbc2568a42baa5090987f87d386a0bca744452e0184,"Come and sit down for a minute, Michelle. I'd like to talk to you about something, something important. What's wrong, Susan? Oh there's nothing wrong, Michelle, but your daddy and I are talking about something that I'd like your opinion about. I know. I heard you talking about it the other night when I was trying on my new clothes. It's about moving to Los Angeles.",What should the woman in blue say?,"You're right, How do you feel about it?","""You're not going to be alone, sweetheart.""",50,75,75,66.66666666666667,62.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0065,c6dd14a31ba0e2146c20813d412ef59070a907c9c06df3583c3bbb72e0618071,"I'm sure Rita may will understand and wait until you're ready to go back to work. Well, maybe she will and maybe she won't, who knows? If I don't accept her offer, Maybe she'll find someone else in the meantime and when I'm ready to go back there won't be a job for me.",What should the man say?,"That's something to consider, you've got yourself to think about too.","""I'm not going to be a part of this.""",0,0,25,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0076,41d890edeb4d08360b3f8466a559ca79bf9848bf94e7a4dc04655921fe84065e,"I like the idea very much and if it's successful, we can expand all kinds of dresses. That's what I thought. As a matter of fact, I have a customer for your first wedding dress, Well my niece is getting married and I've been trying to find just the right thing for her. Marilyn, you're going to design my niece's dress, that'll be our first one and then we'll use it to sell others. Do you really mean it?",What should the woman in black say?,I really mean it.,"""I'm sorry, I didn't mean to interrupt.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0087,5e4aff1e0144681a652b97cd27b96b59b6a8c9bdd0970c1f890479e2c8b61072,"I'm going to miss her when she goes back to Greece. Would you like to give her a little farewell party? Mom, that would be terrific! Maybe we could make it a surprise. Oh I don't know surprise parties don't always work out well. Well, we could tell her it's a graduation party for me. When Alexander arrives, we'll surprise her.",What should the woman say?,"Well, I suppose that might work.","""I'm not going to be a part of this.""",25,50,0,25.0,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0088,54ea9306a8b520ecf63b5df851fe20bf4cd4a773cfcaadff83aa91a3f2d1f80b,"I'd like to give her a nice going away present. Fine. There's only one problem. What's that? I'm broke. I should have saved some money. I'm sure Alexandra would be happy with something simple, Robbie. I know, but well, I'd like to give her something nice to remember me by. Maybe I could borrow some money from you and dad. Oh it's all right with me if it's all right with your dad.",What should the man say?,"Thanks mom, I'll talk to him.","""I don't know, Mom, I just don't know.""",50,0,50,33.333333333333336,50.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0089,1ae2f1dcd5bf15356bb49ee496de2ab3497484059248c06474bc1d0b6cd2a41e,"My friend Alexandra is going back to Greece. Nice girl. We'll all miss her. Mom says we can give her a going away surprise party. Good idea. And I'd like to get her a nice gift. What' do you have in mind? Well, a wristwatch, so she'll think of me when she looks at the time, nothing flashy, expensive, something simple, but a good one.",What should the man in light blue say?,"Sounds fine, Robbie.","""I'm sorry, I don't follow.""",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0091,fd28289b90683f309d0bbe33271827d7c82ba317be1213003d6360c07dcb60aa,"When is your plane reservation for you flight to Athens? Sunday, why? Would you be able to come over Saturday night? Yes, I should be finished packing by then. My folks are giving me a little graduation party. Terrific! I'll pick you up. That isn't necessary. My dad's letting me borrow the car. Oh well, that would be very nice. About eight o'clock? Eight o'clock is fine.",What should the man say?,"Great, it's a date.","""I'm sorry, I didn't mean to.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0092,ddb773fc455e46c68292b6851094f99bae842191716d7170107a569f42fc2f6e,"Are you excited about graduating from high school? Sure, and a little scared. Scared? Why? Aren't you a little scared? I was when I first came to the United States. I'd never been away from home and I didn't know what it would be like, but then I found out that people are the same everywhere once you get to know them. I'm glad I got to know you.",What should the woman say?,Thank you. I'm glad I got to know you.,"""I'm not sure.""",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0093,6b41b87e2e976279422195bbba8ffcb8f91e3c0380b9d97131a936d8a9f647a8,"She's really a good friend, isn't she? Yeah. You are going to miss her. Am I going to miss her?",What should the woman say?,"That's what I said, you are going to miss her.","""Are you okay?""",25,100,25,50.0,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0098,617b6e33e87feb1d2bb0862601a1e8902286899369e037fe7b5b9190bb178f3d,"I can't believe this is really happening! You've earned it. Years of work went into these pictures. I know, but it's still a dream come true. Well, remember we're not sure what the critics are going to write about your show yet. And you never know what the man from the New York Times is going to say about it. Are you worried?",What should the man with silver hair say?,I always worry.,"""It's a beautiful piece, isn't it?""",50,0,25,25.0,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0101,447118b910e652f40700380d1acfae766a1fca883282ea4d398cde43d1d8e83a,"How about guests? How many people will you be bringing? Well, my family, I guess. My wife, Marilyn, my father and mother, my brother Robbie, my sister and her husband and their daughter. And my grandfather. Is that too many? No such thing as too many at an opening. I hope they like it. Your family or the public? Everybody, but especially my family, and they've stood by me through all this.",What should the man in the black suit say?,I'm sure they'll like it.,"""I'm sorry, I don't follow.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0105,1724c2c65886af23a79a206572ef734b3f302ae9d3c71d96711ff259ac62a899,You're going to be a great success. Are you ready? As soon as I get these cuff links on. Let me help. Mom and dad are already on their way down to the gallery. There. You look very attractive.,What should the man say?,Thank you.,"""I'm sorry.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0113,913551094d9a057cb43a4d13daea3c027342f602d7aef5f090326ea85d600807,Who is it? It's Jake. Jake. Jake Seltzer from the station. Jake. These are for you. Oh flowers.,What should the woman say?,"They're beautiful Jake, thank you very much.","""Thank you.""",75,75,100,83.33333333333333,87.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0116,db9329f5a109a6a1b467b6f36c96e27c9e21578a683a09753b4b2ffe9ce1845f,"Here's to a very special Christmas. To a very special person. To a great singer. Now, to make my day complete,I'm gonna call Alex. Let me wish him a",What should the man say?,Merry Christmas.,Cheers.,50,0,25,25.0,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0117,c262a56784e1da1af1818f1074b9b95ccf4ed79b47512e8757dd5b9760cfefcd,"Would you like to open your present? I'd love to. I have a present for you, too... under the Christmas tree. Well, you open your gifts first. All right. Merry Christmas and a Happy New Year. Your friend, Alex. He made the statue at school. 'Mighty Casey at the Bat'. What a riot! I'll keep it forever. It's so cute. All right,",What should the woman say?,Now you open your present.,It's beautiful. Thank you.,50,50,25,41.666666666666664,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0129,efbed81ae6f7de0765c77a0d7a8d9130c2b07dd6ded0e0da472f3e519e92d6fc,"Honey, where should I put the candy dishes? Here on the table? Sure that's fine. Oh did you ask Greg to bring the ice cream? Oh no I forgot. Oh well, we'll still have enough food. Sorry Mia.",What should the woman say?,That's okay.,"""I'm sorry, I just don't know what to say.""",25,0,0,8.333333333333334,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0137,64625acc1f9c78d9ccc0e21ba1ab58363f447ce708e09930d017bcae17708e5d,"You're not Mr. Barker. Very observant. Mr. Barker will be here at 9 a sharp after his morning walk. I am Mrs. McIntyre. Mr. Potter. Deputy head. That's right. I'm the new deputy head. There must be some mistake, I am the new deputy head.",What should the woman say?,Impossible.,"""I'm sorry, I didn't mean to interrupt.""",25,0,25,16.666666666666668,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0139,9e28f7f411c272cdbf9cec211aae71a168e1d62c5197d01d3a5c96c3b41acacd,"My yes! A very accomplished piece of work, Emily. It really draws you in, doesn't it? Thanks Miss. But is it finished? Yes miss. Is it? Yes miss. Of course it is. How silly of me. Do you think it could do with maybe justum one more thing?",What should the little girl say?,I think it's done.,"""I think it's finished.""",100,100,100,100.0,100.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0144,a0abfd2504e160305460f1b40750e64a8bb135330b1e5010d95713aafb5011b8,I just can't imagine what those boys are doing right now. Hey... It's New Year's. They're probably out celebrating. They're only ten... They wouldn't do that. You'd be surprised what kids will do. Do you remember when I ran away from home? I was only seven. Right.You went down two blocks and then chickened out.,What should the man say?,Kids'll do crazy things.,"""I'm sorry, I didn't mean to upset you.""",50,0,25,25.0,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0147,f276e807b74824da10684b693ae7a634e274c2f83aa2d700911c789e01bb89f5,"Tell me about your book. Oh, it's not finished yet, but I have some of the pictures. Would you like to see them?",What should the woman say?,Yes. I'd like that.,"""Are you okay?""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0148,414d27c71df7584fc492604580e56d43eb9422d9098a51364d1db9edcc29fd7b,"I had a really bad day. I left my bag of film on the ferry. I went back for it, but the ferry was gone. I lost a whole day's work. I'll call the Staten Island Ferry lost-and-found office. Alexandra! Hello, Richard. I found your bag!",What should the man say?,"Oh, thank you!","""Mom, Dad, this is Jennifer.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0150,82ec49498f690f3b19d99939176bbd991060c1a59c337d474a6e943c7eac5c30,"Excuse me, ma'am. I'm looking for 83 Wooster Street. Yes. Wooster Street is two blocks, and 83 is to the right,about two houses.",What should the man say?,"Thank you, thank you!","""I'd like to buy some flowers, please.""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0158,5ed05d9fb5aed36e68864965f87e40b67ab97ffaec9100777f82e46c9d9c1da9,"I am exhausted. My new exercise class is so hard. Your new exercise class? Yeah. My new advanced exercise class. Why advanced? My instructor thought that the beginner's class was too easy for me. In the beginner's class, they give you a chance to rest between exercises. So?",What should the woman say?,The advanced class is nonstop.,Are you okay?,25,0,25,16.666666666666668,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0159,4dab92a2af0461908053acdaa344c917972cd08fcdf16778e0a28bd231015698,"Doing aerobics for an hour is a lot different than lifting weights. Yeah. Quite a bit different. I think aerobics is easy. I could work out in your class with no problem. You think so? Oh, without a doubt. When's the next class? Tomorrow morning at ten o'clock. Try it.",What should the man say?,It's a nap.,"""I'm sorry.""",0,25,25,16.666666666666668,12.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0161,d509189c1e4b2acc1504a8c53059a5cd138cf72316eff29ac60ce4182bbd9142,"What do you do for a living, Mr.Stewart? I'm a photographer. Interesting. What do you photograph? Everything. The American scene. People, places, events. Did you ever think of photographing an aerobics class? No... I can't remember taking pictures of people exercising. But don't you think it'd be a good subject? Sure. I need some good photos for my advertising, Mr.Stewart. Maybe you can photogragh a class, and I can give you and Mrs.Stewart a month of classes ree. When can I photograph a class? Anytime. How about today?",What should the man in green say?,Terrific!,"""I'm not sure about that.""",25,50,25,33.333333333333336,25.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0162,467fe088b56eede6b3d8254dfb13a100a3d3788e83f6d14395e8fee87326b7e1,"Well, I didn't really exercise. I knew it! I wanted to,but Jack Davis needed a photographer. I'm sorry, Marilyn. I don't understand. Did you exercise or not?",What should the man say?,No.,"""I'm sorry, I didn't mean to upset you.""",75,0,25,33.333333333333336,50.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0166,659433b889b6304a61ea5c152f755a70be3db772df001c90ff8284c275ef28ae,"Robbie says you can't take him to the game today. I really feel bad about it, but they need me at the hospital today, in the children's ward. l understand. Maybe we can spend some time together next weekend.",What should the elderly person say?,Definitely. We should.,"""Are you going to eat that?""",0,0,0,0.0,0.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0168,d19e2dd2461dd8ed9a521bd8f4d984429e071e74124c641a7dcd3d7df2452882,"Is something wrong, Alexandra? No, nothing. Yes, there is. I can tell. What's the matter? Come on, you can tell me. What's up? I don't know. Something's wrong.",What should the man say?,"OK, let's talk.","""I'm not sure what to do.""",50,0,50,33.333333333333336,50.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0169,25b4233b82fece5f9531fbaaeff754c2d8b24bfff1c506012672dfff9c6ed5e6,"But when I received the letter with photographs of my family, I cried. I cried because I miss them all. You really miss your family, don't you?",What should the woman say?,Yes.,"""I'm sorry, I didn't mean to upset you.""",75,0,0,25.0,37.5
gemini_2_5_flash,Gemini 2.5 Flash,video_0170,6a854cb02f577331620a52a733c0841eb502b88a9a980eae10979a2a94b79998,"I know I must seem silly. It's not like I have nobody. I like the Molininas very much, and they're so kind to me.Hey, why don't we go out for a cheeseburger and fch fries, that'll cheer you up and you can use my walkman.",What should the woman say?,That's a good idea.,I don't know.,50,100,50,66.66666666666667,50.0
gemini_2_5_flash,Gemini 2.5 Flash,video_0174,4a49227998dc5388a5a206123cef327e4c5f1e3b7613038f754d69976d9796eb,"I need your special talent for handling special matters. Like what special matters? Well, I have a scheduling problem. Yes? I have three tonsillectomies set for Friday with Dr.Earl. Yes? I need to fit a fourth operation into his schedule. And... I know you can do it. Well, I'll try to arrange the scheduled, Dr.Stewart. But it's not going to be easy.",What should the man say?,I know you'll be able to take care.,"""I'm sorry, I didn't mean to startle you.""",0,0,0,0.0,0.0
